,referenceDate,title
95,31/05/2022,Estado de cuenta del Banco de México
96,25/05/2022,La balanza de pagos en el primer trimestre de 2022
97,12/05/2022,Anuncio de la Decisión de Política Monetaria
98,31/05/2022,Agregados monetarios y actividad financiera
99,06/05/2022,Encuesta sobre Condiciones Generales y Estándares en el Mercado de Crédito Bancario
100,03/05/2022,Resultados de la subasta de valores gubernamentales
101,10/05/2022,Resultados de la subasta de valores gubernamentales
102,17/05/2022,Resultados de la subasta de valores gubernamentales
103,24/05/2022,Resultados de la subasta de valores gubernamentales
104,31/05/2022,Resultados de la subasta de valores gubernamentales
